a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,16,0,8,000123321312122312200332112231132332131131213213233,100100001010100010000000110001010010101101010010000,010100010001011001101010001010001001000000100100100,001001100100000100010001010010100100010010001001011
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,3,0,16,000213321312122312231110332231133201231131213213233,010010001010100010001110000001100001001101010010000,100100010001011001100001001100001001100000100100100,010001100100000100010000110010011000010010001001011
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,4,0,18,000213321312122312231113232231302310231131213213233,010010001010100010001110000001100001001101010010000,100100010001011001100001001100001001100000100100100,001001100100000100010001010010100100010010001001011
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,17,1,9,132000321213123312203021313321133221121131213213232,100100001010100010000001010001100001101101010010000,001100010001011001101010001010000110000000100100100,010001100100000100010000110010011000010010001001011
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,3,1,20,213000321132213123231113223301321321031131213213232,010010001100010100001110000001001001001101010010000,100001010001100010100100100100010010100000100100101,001010100010001001010001001100100100010010001001010
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,16,1,22,231000231321132120313331212231123123120321132312123,001010001010100001010001010001100100010001100010100,100100100010001010000000101100010010101110000100010,010001010100010100001110000010001001000100010011001
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,14,2,4,132123000123002312123332112231213213121132213123233,100100001010100010000000110001010010101110000100010,001010100010001001010001001100100100010001100010100,010001010100010100001110000010001001000100010011001
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,14,2,24,132132000213311213323312321312233211211200123122313,100100010010011010000010001010000011011000100100010,001001001001100100010001010001100100100001100010100,010010100100000001101100100100011000000110000100101
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,16,2,32,132132000132322213132221330123133221131132213123230,100100100001001010100001001100100001101001011000000,001001010100010100001110000010000110000100010011001,010010001010100001010000110001011000010010001001010
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,24,3,5,132132213000010213123312321321233211121132213123232,100100010001100001100010001001010110100000011001000,001001100100000100010001010010100100010001100010101,001010001010011010001100100100000010001110000100010
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,10,3,7,321123312000211032021313221312322113321132213123233,001100010001011100001010001010000110001000100100010,010010001010100001010000110001011000010001100010100,100001100100000010100101000100100001100110000100101
a?GW?e?OG??A???B`??C?_A???{?@??Od?A??G?IC??A??AG???????_???????J???A????AgA??@????AS_C???@?_??G,ILP,10,3,23,132132312000211213123312321312233211201032213123233,100100010010011010000010001010000011011000100100010,001001001001100100010001010001100100100001100010100,010010100100000001101100100100011000000110000100101
