]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213311233210332123031312312112212312213,100100010011000010000100001010010110010010010,001010100000100100101010100000101001001010001,010001001100011001010001010100100000100100010
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213311233210332123031131232112212323121,100100010011000010000100001101000110010000101,001010100000100100101010100000101001001010001,010001001100011001010001010100100000100100010
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213313121220331332023232131221121313212,001100010010101000101000100000101001001010001,100010100000010110000001010101000110010000101,010001001101000001010110001100100000100100010
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213313121220331332023321321221121321123,001100010010101000101000100000101001001010001,100010100000010110000001010010010110010010010,010001001101000001010110001100100000100100010
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,13,0,10,000123312213121230221332023321321331121321123,100100010011000010001000001001001001101001100,100010001100010100110001010010010000010010010,001001100000101000100110100100100101000100001
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,22,0,10,000123213313121230223132023121323112312323121,010100010100101000100100100101000100000100101,001010100000010101010001010011000001101001000,100001001011000010001010001000011010010001100
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,22,0,10,000123213313121230223132023212313112312313212,010100010100101000100100100010010100000110010,001010100000010101010001010011000001101001000,100001001011000010001010001000011010010001100
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213311323210223132021212313112312313212,100100010011000010000100001010010110010010010,001010100000010101010001010011000001101001000,010001001100101000101010100000011000000101100
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213311323210223132021121323112312323121,100100010011000010000100001101000110010000101,001010100000010101010001010011000001101001000,010001001100101000101010100000011000000101100
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213311323220113132021121323221321323121,001100010011000001010100001011000001101001000,100010100000010110000001010010010110010010010,010001001100101000101010100000011000000101100
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,12,0,10,000123213311323220113132021212313221321313212,001100010011000001010100001011000001101001000,100010100000010110000001010101000110010000101,010001001100101000101010100000011000000101100
]@?G?SGOCCCAP??B_C????O??oG_??C?E??AG?A?g?????F??G?O?C?o?????@_@??CO????Ag,ILP,19,0,10,000123213311233210331223031321321221121321123,010100010100100101001000001001001000101001100,010010100001000010000110100010010110000110010,001001001010011001010001010100100010010000001
